County,License Number,Operation Type,Nursery Size,Greenhouse Size,Trade Name,Owner Name,Business Phone,Street Number,Street Name,Address Line 2,Address Line 3,City,State,Zip Code,Georeference,New York Zip Codes 2,Counties 2,NYS Municipal Boundaries 2
SULLIVAN,481241,Nursery Stock Only,11-100 Acres,,MAPLEHORST FARM NURSERY INC,JOHN W. RAPP,845-794-8596,151,RAPP ROAD,,,MONTICELLO,NY,12701,"{'type': 'Point', 'coordinates': [-74.744175, 41.687636]}",1024,2180,650
TOMPKINS,504934,Nursery Stock Only,10 Acres or Less,,HUNTS TREE FARM,HUNT ROBERT F,607-539-7582,146,BLACKMAN HILL ROAD,,,BERKSHIRE,NY,13736,"{'type': 'Point', 'coordinates': [-76.266538, 42.355961]}",1630,2181,714
ERIE,146689,Nursery Stock Only,10 Acres or Less,,BLAKE TOM VEHICLE,BLAKE TOM,716-822-7610,91,TAMPA DRIVE,,,BUFFALO,NY,14220,"{'type': 'Point', 'coordinates': [-78.797371, 42.835975]}",109,2041,276
SENECA,450323,Nursery Stock Only,10 Acres or Less,,KINGDOM ROAD NURSERY,BRADLEY MICHAEL,315-568-9607,2922,KINGDOM ROAD,,,WATERLOO,NY,13165,"{'type': 'Point', 'coordinates': [-76.822174, 42.885429]}",701,2144,577
NIAGARA,645162,Nursery Stock Only,10 Acres or Less,,GUY KORNAKER,GUY KORNAKER,716-550-3152,309,DIVISION STREET,,,NORTH TONAWANDA,NY,14120,"{'type': 'Point', 'coordinates': [-78.860885, 43.031772]}",953,2131,158
ORANGE,331025,Nursery Stock Only,101 Acres or More,,SHUBACK FARMS INC,SHUBACK FARMS INC,845-651-4074,229,MT EVE ROAD,,,GOSHEN,NY,10924,"{'type': 'Point', 'coordinates': [-74.416134, 41.315684000000005]}",1504,2134,885
DUTCHESS,645405,Nursery Stock Only,10 Acres or Less,,ONE NATURE LLC,BRYAN QUINN,845-440-1677,321,MAIN STREET,,,BEACON,NY,12508,"{'type': 'Point', 'coordinates': [-73.970239, 41.505213]}",950,2040,601
SENECA,644577,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",DAN SCHMUCKER,DAN SCHMUCKER,,264,ST RT 414,,,WATERLOO,NY,13165,"{'type': 'Point', 'coordinates': [-76.858274, 43.013647]}",701,2144,576
MADISON,250352,Nursery Stock Only,11-100 Acres,,CRITZ FARMS INC,CRITZ FARMS INC,315-662-3355,3232,RIPPLETON ROAD PO BOX 29,,,CAZENOVIA,NY,13035,"{'type': 'Point', 'coordinates': [-75.874842, 42.881991]}",354,2092,165
NIAGARA,296176,Nursery Stock Only,11-100 Acres,,ERWAY FARMS,ERWAY DAVE,716-308-2997,4202,WILLOW,,,WILSON,NY,14172,"{'type': 'Point', 'coordinates': [-78.814048, 43.231456]}",29,2131,131
MONROE,643674,Nursery Stock Only,11-100 Acres,,LEMCKE RICHARD A,RICHARD LEMCKE,585-392-7120,293,PECK RD,,,HILTON,NY,14468,"{'type': 'Point', 'coordinates': [-77.759107, 43.244260000000004]}",238,2093,542
ONONDAGA,646052,Nursery Stock Only,10 Acres or Less,,BLOOMS FLOWER FARM,RICHARD POPOV,315-673-2092,3243,FOX ROAD,,,SYRACUSE,NY,13215,"{'type': 'Point', 'coordinates': [-76.258387, 42.932689]}",732,2132,693
PUTNAM,372431,Combined Nursery and Greenhouse,11-100 Acres,"2,001-20,000 SqFt of Glass",BERKSHIRE NURSERY,LOPANE CARMINE,914-878-9383,2714,ROUTE 22,,,PATTERSON,NY,12563,"{'type': 'Point', 'coordinates': [-73.578394, 41.491644]}",990,627,101
MONROE,266200,Combined Nursery and Greenhouse,10 Acres or Less,"20,001 SqFt of Glass or More",PALOMAKI FARMS LLC,PALOMAKI FARMS LLC,585-223-8951,23,PANNELL CIR,,,FAIRPORT,NY,14450,"{'type': 'Point', 'coordinates': [-77.378296, 43.063653]}",231,2093,540
YATES,645495,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",ZIMMERMAN JERRY,JERRY ZIMMERMAN,607-243-9496,150,PUTNAM ROAD,,,DUNDEE,NY,14837,"{'type': 'Point', 'coordinates': [-76.920103, 42.548979]}",1776,2225,90
ONEIDA,307103,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",FREEDOM FARM MARKET LLC,STEPHEN ADAMKOWSKI,215-207-7708,4826,STATE ROUTE 5,,,VERNON,NY,13476,"{'type': 'Point', 'coordinates': [-75.56747999799995, 43.07653999100006]}",1383,625,983
OSWEGO,644241,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",TONYS FARMS,OUELETTE ANTHONY,315-345-4242,1089,STATE RT 176,,,FULTON,NY,13069,"{'type': 'Point', 'coordinates': [-76.439438, 43.28606]}",623,2135,247
WAYNE,644900,Nursery Stock Only,10 Acres or Less,,DOUG FRANKE'S NURSERY INC,DOUGLAS FRANKE,,3074,GILDERSLEEVE RD,,,MARION,NY,14505,"{'type': 'Point', 'coordinates': [-77.235245, 43.184742]}",318,631,633
ULSTER,511615,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",COUNTRY FLOWERS GIFTS & GOODIES INC,ROBIN ANDERSON AND ANDREW ANDERSON,845-647-5256,2,RIVER ST,,,NAPANOCH,NY,12458,"{'type': 'Point', 'coordinates': [-74.377321, 41.738097]}",252,2182,407
ONONDAGA,315871,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",MUSUMECI FARMS,WEEKES BONNIE J,315-458-1118,7669,VILLA MARIA,,,NORTH SYRACUSE,NY,13212,"{'type': 'Point', 'coordinates': [-76.157785, 43.141522]}",730,2132,703
PUTNAM,643817,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",LELAND FARMS,PAUL L BONBON,845-284-2445,31,STARVIEW AVE,,,PUTNAM VALLEY,NY,10579,"{'type': 'Point', 'coordinates': [-73.859478, 41.379738]}",1341,627,99
ERIE,645260,Nursery Stock Only,10 Acres or Less,,DUKE'S EVERGREEN,JEFFREY DUCHMANN,716-239-0799,7400,ZIMMERMAN ROAD,,,NORTH BOSTON,NY,14110,"{'type': 'Point', 'coordinates': [-78.77975202099998, 42.684499017000064]}",527,2041,302
FULTON,170035,Nursery Stock Only,10 Acres or Less,,PINELANDS NURSERY & SUPPLY,KNEZICK DONALD,609-291-9486,324,COUNTY HIGHWAY 112,,,GLOVERSVILLE,NY,12078,"{'type': 'Point', 'coordinates': [-74.379029, 43.130126]}",1227,2085,389
JEFFERSON,225595,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",STROCK FARMS,STROCK TERENCE & JUDY & TYLER,315-658-0202,33807,TRACY ROAD,,,LAFARGEVILLE,NY,13656,"{'type': 'Point', 'coordinates': [-75.988167, 44.154665]}",1580,2089,847
SUFFOLK,643885,Nursery Stock Only,10 Acres or Less,,PEAT & SON CORPORATION,PEAT & SON CORPORATION,,301,REEVES AVE,,,RIVERHEAD,NY,11901,"{'type': 'Point', 'coordinates': [-72.703811, 40.949592]}",1530,2179,1017
CHAUTAUQUA,643897,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",K & M GREENHOUSE,MARTHA C BYLER,,6395,LAWSON RD,,,MAYVILLE,NY,14757,"{'type': 'Point', 'coordinates': [-79.474971, 42.294037]}",1731,2035,220
HUNTERDON,643658,Greenhouse Stock Only,,"2,000 SqFt of Glass or Less",ALEX FARM/ JERSEY FARM PRODUCE INC,HECTOR PEREZ,908-797-0718,610,LITTLE YORK MT PLEASENT ROAD,,,MILFORD,NJ,8848,"{'type': 'Point', 'coordinates': [-75.076366, 40.605687]}",,2488,
ONONDAGA,315252,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",WATSON FARMS LLC,WATSON MARY LOU,315-677-3157,2778,ROUTE 11 PO BOX 345,,,LAFAYETTE,NY,13084,"{'type': 'Point', 'coordinates': [-76.11078699899997, 42.90578901400005]}",635,2132,698
CORTLAND,112974,Combined Nursery and Greenhouse,10 Acres or Less,"2,001-20,000 SqFt of Glass",LITTLE YORK PLANTATION LLC,CRANE RICHARD JR & JACQUELINE,607-749-4861,6088,ROUTE 281,,,LITTLE YORK,NY,13087,"{'type': 'Point', 'coordinates': [-76.161461, 42.702061]}",629,620,773
CHAUTAUQUA,645445,Greenhouse Stock Only,,"20,001 SqFt of Glass or More",YERICO FARMS LLC,JOHN M. YERICO,716-673-1271,3186,EAST MAIN ROAD,,,DUNKIRK,NY,14048,"{'type': 'Point', 'coordinates': [-79.268585, 42.472391]}",508,2035,201
WAYNE,644658,Combined Nursery and Greenhouse,11-100 Acres,"2,000 SqFt of Glass or Less",STOP 28 FARM & NURSERY INC,MICHAEL VIENS,585-314-8407,750,ALDERMAN ROAD,,,PALMYRA,NY,14522,"{'type': 'Point', 'coordinates': [-77.27768, 43.037256000000006]}",364,631,634
GREENE,192187,Nursery Stock Only,10 Acres or Less,,SKLIBA TREE FARM,SKLIBA JOSEPH,518-731-2417,,RD BOX 204 MURDERKILL ROAD,,,ATHENS,NY,12015,"{'type': 'Point', 'coordinates': [-73.818837, 42.288]}",1144,2087,766
SCHUYLER,447129,Greenhouse Stock Only,10 Acres or Less,"2,000 SqFt of Glass or Less",SUGAR HILL WOODWORKS & CRAFTS,GEE RODNEY,607-535-7856,1621,SUGAR HILL ROAD,,,WATKINS GLEN,NY,148919423,"{'type': 'Point', 'coordinates': [-76.999718, 42.362557]}",919,2143,643
CATTARAUGUS,46073,Nursery Stock Only,11-100 Acres,,WOODRUFFS TREE FARM,JAY WOODRUFF,716-353-4570,4240,GOOSENECK ROAD,,,DELEVAN,NY,14042,"{'type': 'Point', 'coordinates': [-78.5405, 42.45991500000001]}",505,2034,374
MONTGOMERY,644706,Nursery Stock Only,10 Acres or Less,,LIZZIE L MILLER,LIZZIE L MILLER,518-993-4734,292,PHILLIP RD,,,FORT PLAIN,NY,13339,"{'type': 'Point', 'coordinates': [-74.743378, 42.94106]}",551,624,491
RENSSELAER,645968,Greenhouse Stock Only,10 Acres or Less,,HEMPCHAIN FARMS LLC,NATURAE LLC,,475,GREEN HOLLOW ROAD,,,BERLIN,NY,12022,"{'type': 'Point', 'coordinates': [-73.340141, 42.707325]}",1305,2138,152
RENSSELAER,386456,Combined Nursery and Greenhouse,10 Acres or Less,"2,000 SqFt of Glass or Less",RUEBEL FARMS,RUEBEL JUDITH A,518-658-2151,18435,STATE ROUTE 22,,,BERLIN,NY,12022,"{'type': 'Point', 'coordinates': [-73.377727, 42.704453]}",1305,2138,152
ERIE,145765,Greenhouse Stock Only,,"2,001-20,000 SqFt of Glass",FUNKES FLOWERS,FUNKE KATHLEEN,716-992-3049,4135,ROSEDALE AVENUE,,,EDEN,NY,14057,"{'type': 'Point', 'coordinates': [-78.830544, 42.664092]}",513,2041,293
